,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
31953,Mumbai Indians,Rajasthan Royals,Jaipur,109,27,6,7.032258064516129,33.0,174
10105,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,142,29,9,9.362637362637363,63.0,205
18778,Chennai Super Kings,Mumbai Indians,Sharjah,31,74,4,4.043478260869565,26.0,114
25974,Kings XI Punjab,Kolkata Knight Riders,Kolkata,131,32,8,8.931818181818182,50.0,174
3056,Kolkata Knight Riders,Chennai Super Kings,Chennai,104,46,5,8.432432432432432,31.0,202
25942,Kings XI Punjab,Kolkata Knight Riders,Kolkata,73,64,9,7.821428571428571,41.0,174
51951,Chennai Super Kings,Rajasthan Royals,Ahmedabad,81,48,6,6.75,41.0,156
8514,Kings XI Punjab,Rajasthan Royals,Jaipur,155,11,7,8.53211009174312,49.0,184
17091,Sunrisers Hyderabad,Rajasthan Royals,Dubai,115,21,8,6.96969696969697,41.0,158
3177,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,87,48,6,7.25,31.0,147
35450,Kolkata Knight Riders,Mumbai Indians,Kolkata,92,55,7,8.492307692307692,47.0,175
4220,Kolkata Knight Riders,Kings XI Punjab,Kolkata,188,2,3,9.559322033898304,41.0,191
